23	23	10
110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	
110	43	43	43	43	43	43	43	43	43	43	3	43	43	43	43	43	43	43	43	43	43	110	
110	43	43	43	43	43	43	43	43	3	3	3	3	3	43	43	43	43	43	43	43	43	110	
110	43	43	3	3	3	3	3	3	3	18	8	28	3	3	3	3	3	3	3	43	43	110	
110	43	43	3	43	43	43	43	43	3	3	3	3	3	43	43	43	43	43	3	43	43	110	
110	43	43	3	43	43	43	43	43	43	43	3	43	43	43	43	43	43	43	3	43	43	110	
110	43	43	3	43	43	43	3	3	3	3	3	3	3	3	3	43	43	43	3	43	43	110	
110	43	43	3	43	43	3	3	43	43	43	3	43	43	43	3	3	43	43	3	43	43	110	
110	43	43	3	43	43	3	43	43	3	3	3	3	3	43	43	3	43	43	3	43	43	110	
110	43	3	3	3	43	3	43	3	3	31	31	31	3	3	43	3	43	3	3	3	43	110	
110	43	3	27	3	43	3	43	3	31	31	38	31	31	3	43	3	43	3	16	3	43	110	
110	3	3	7	3	3	3	3	3	31	36	1	37	31	3	3	3	3	3	6	3	3	110	
110	43	3	17	3	43	3	43	3	31	31	39	31	31	3	43	3	43	3	26	3	43	110	
110	43	3	3	3	43	3	43	3	3	31	31	31	3	3	43	3	43	3	3	3	43	110	
110	43	43	3	43	43	3	43	43	3	3	3	3	3	43	43	3	43	43	3	43	43	110	
110	43	43	3	43	43	3	3	43	43	43	3	43	43	43	3	3	43	43	3	43	43	110	
110	43	43	3	43	43	43	3	3	3	3	3	3	3	3	3	43	43	43	3	43	43	110	
110	43	43	3	43	43	43	43	43	43	43	3	43	43	43	43	43	43	43	3	43	43	110	
110	43	43	3	43	43	43	43	43	3	3	3	3	3	43	43	43	43	43	3	43	43	110	
110	43	43	3	3	3	3	3	3	3	29	9	19	3	3	3	3	3	3	3	43	43	110	
110	43	43	43	43	43	43	43	43	3	3	3	3	3	43	43	43	43	43	43	43	43	110	
110	43	43	43	43	43	43	43	43	43	43	3	43	43	43	43	43	43	43	43	43	43	110	
110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	
